"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",147.403284255461,0.154838729477557,0.232445757669239,0.666128438006968,0.505329008922277,0.673620124607845
"MIR6859-1",1.02502461872738,-3.48545765144313,3.35479114963897,-1.03894922097258,0.2988283530578,NA
"LOC124903816",0,NA,NA,NA,NA,NA
"LOC124900384",0.0743601506188782,0,5.39771667960659,0,1,NA
"LOC729737",10.8250727464922,-0.523300180329152,0.988121003760504,-0.529591192108681,0.596395402490693,NA
"DDX11L17",0.360168939536723,2.57882707957669,5.29516840089539,0.487015121018743,0.626247615287463,NA
"WASH9P",73.8523376659972,0.0242678602304991,0.353582152339938,0.068634290701324,0.945280723181355,0.97232006354294
"MIR6859-2",0,NA,NA,NA,NA,NA
"LOC127239154",2.57957539330618,4.00747896653605,2.48957843316603,1.60970183270734,0.107462964683699,NA
"LOC124903815",0.187974161441471,0,5.39771667955452,0,1,NA
"LOC124900618",0.155853289058809,0,5.39771667956517,0,1,NA
"LOC112268260",0.187974161441471,0,5.39771667955452,0,1,NA
"LOC100132287",0.0779266445294046,0,5.39771667961682,0,1,NA
"LOC105378947",2.03078912617336,-0.071914126308163,2.40349328599573,-0.029920668689686,0.97613032199734,NA
"MIR12136",10.7549774882189,-0.742179911770364,0.909175366722547,-0.816322063856417,0.414315958378262,NA
"LOC100288069",18.4412770413698,-1.4484091427012,0.733569569249766,-1.97446732173271,0.04832862964545,NA
"LINC01409",3.16249177085512,0.445146704570249,1.70578154048784,0.260963490344104,0.794120662388612,NA
"LOC124903817",6.88119341716823,0.390242707891482,1.07909842007346,0.36163773445699,0.717622762517424,NA
"FAM87B",6.39977476160974,0.524158535162539,1.32126635822211,0.396709211508152,0.691581906621246,NA
"LINC00115",15.2772458422915,-0.21289274143498,0.694357465331273,-0.306603949787464,0.759144846866008,NA
"LINC01128",624.286294023933,0.0197607442374544,0.118768064658079,0.166380956819861,0.867857159330003,0.929622373793229
"LOC284600",2.87653178578329,1.55944554776366,1.94696275277641,0.800963215932025,0.423152941177,NA
"LINC02593",0,NA,NA,NA,NA,NA
"LOC107985728",0,NA,NA,NA,NA,NA
"SAMD11",3.31846024937623,-0.0400717531311591,1.59416629135764,-0.0251364950748223,0.979946090511012,NA
"NOC2L",6233.80682064818,-0.0322079025463506,0.0520153287878794,-0.619200210724336,0.535784473057873,0.695944906817895
