"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",119.273367524877,-0.0126032201342385,0.258936728136646,-0.0486729720612966,0.961179915508711,0.979824877080452
"MIR6859-1",0.416866770933761,1.00495954207893,5.38873200624016,0.186492766928321,0.852058350517771,NA
"LOC124903816",0,NA,NA,NA,NA,NA
"LOC124900384",1.17731850011848,1.92016814804799,2.98462467288605,0.643353305188365,0.519994875175311,NA
"LOC729737",7.8895175941298,0.467061485670994,0.999146195511698,0.467460605634188,0.640170370681455,NA
"DDX11L17",0.423574920476432,-2.71099724753603,5.30884709360134,-0.510656494665959,0.609591609314851,NA
"WASH9P",66.5513602473561,0.238074254354151,0.382772290267579,0.621973586927423,0.533959236088767,0.715798851935503
"MIR6859-2",0.0695544956460373,1.00501504623949,5.38873200637572,0.186503066964622,0.852050273963497,NA
"LOC127239154",3.44484372592517,-1.06579471899621,1.81062943637437,-0.58863216160363,0.556108054325732,NA
"LOC124903815",0,NA,NA,NA,NA,NA
"LOC124900618",0,NA,NA,NA,NA,NA
"LOC112268260",0.178204608319896,-1.91883788852851,5.38405402916422,-0.356392762430428,0.721546448772139,NA
"LOC100132287",0.489499755188007,-2.71397641292726,4.69663434072204,-0.577855591055025,0.563361619736665,NA
"LOC105378947",1.23503275374435,-1.51875721904415,2.9916590404907,-0.507663874287974,0.611689087394102,NA
"MIR12136",10.0287261224594,-0.236515971010494,0.901235511389214,-0.262435254738148,0.79298589551562,NA
"LOC100288069",15.2031545628291,-0.559883192888517,0.815723629359081,-0.686363828063214,0.492483708396964,0.680732293094101
"LINC01409",4.77156037255882,0.252362674235853,1.65505135869814,0.152480267702606,0.87880815254196,NA
"LOC124903817",6.63574446981821,-0.344096412409722,1.13119554225906,-0.304188267682299,0.760984462633314,NA
"FAM87B",7.22309835758246,-0.0680274796234,1.0864079995922,-0.0626168802594743,0.950071587291908,NA
"LINC00115",17.4751998725909,0.706780575876176,0.717010074129679,0.985733117814391,0.32426409349709,0.529221886609901
"LINC01128",546.323257556285,-0.195395389819478,0.121192043166514,-1.61227903015887,0.106901234388921,0.247720447859173
"LOC284600",2.2041642538504,-2.04596354762651,2.03262537498026,-1.00656204178617,0.314145283131935,NA
"LINC02593",0,NA,NA,NA,NA,NA
"LOC107985728",0,NA,NA,NA,NA,NA
"SAMD11",5.07011689692061,0.0664135794458353,1.30458948419289,0.0509076458537632,0.959399112901466,NA
"NOC2L",5418.97845248431,-0.146415148101849,0.0509197454518622,-2.8754100556191,0.00403503090142425,0.0186908640136603
"KLHL17",120.113777302555,-0.338540243053688,0.317567566559536,-1.06604161980824,0.286404828218657,0.4900978281222
"PLEKHN1",19.8150315920508,-0.803008818056872,0.70439393497137,-1.13999961980012,0.254286459522824,0.453687385605504
"PERM1",0.870977986921531,0,4.31783393448635,0,1,NA
"HES4",466.357882790059,-0.483312988211854,0.135959522379602,-3.5548299946394,0.000378223557242799,0.00241964286900291
"ISG15",722.979792499073,-0.0616197279001287,0.13348763949864,-0.461613735410735,0.644358342870955,0.797422415495762
"AGRN",5948.27888352889,-0.515946101596975,0.136392767948502,-3.78279662006554,0.000155076121798959,0.00110208501896089
"LOC100288175",9.62913956964215,0.700289043959333,1.03503247811278,0.676586540778121,0.498668321021165,NA
"LOC105378948",2.00043650789746,-1.50107645751226,2.19183725485036,-0.684848500585752,0.493439526419273,NA
"C1orf159",418.424198681383,-0.283825573409532,0.166899110866315,-1.70058169834634,0.0890215632200853,0.217263302691582
"LOC124903820",1.87383801617677,-1.24915429812079,2.43740820048388,-0.512492859371199,0.608306116533581,NA
"LOC124903818",0.167893190969984,0,5.39771667956087,0,1,NA
"TNFRSF18",0.173071413324615,0,5.39771667955858,0,1,NA
"TNFRSF4",11.2300926417043,0.284637841707338,0.982283558479262,0.289771562651425,0.771991004618169,NA
"SDF4",9902.40538898197,0.00521635769023885,0.0422657553322741,0.123418063849332,0.901776053543121,0.949325378033422
"B3GALT6",1824.03003014508,0.0402889502950866,0.0726921329596681,0.554240860113985,0.579414018107232,0.74981061160098
"C1QTNF12",8.16064744462736,-0.700762979644691,1.02219933449626,-0.685544351278635,0.49300048371649,NA
"UBE2J2",4020.46657375012,-0.223221516928306,0.0531711489262362,-4.19816989920565,2.69080726973895e-05,0.000232412547303145
"LINC01786",2.07273415125651,0.362563152349259,2.1692461990734,0.167137853003559,0.86726158251265,NA
"SCNN1D",3.77114098980098,0.256988205187202,1.7449796762724,0.147272893020838,0.882916627392776,NA
"ACAP3",585.099999244673,-0.240861184098225,0.12181126731563,-1.97733091040027,0.048004237899683,0.13734287498405
"SNORD167",0.113111073928017,-1.91880153964403,5.38405616455167,-0.356385869872108,0.721551609844089,NA
"PUSL1",554.44058295677,-0.375774351975343,0.13801626582049,-2.72268163278734,0.00647544268614671,0.027643066256828
"INTS11",4078.24094701946,-0.0389056159031923,0.0523076303243839,-0.743784714809684,0.45700672883824,0.652065358654457
"CPTP",2264.70231630987,-0.0130042154543102,0.0660011744169083,-0.197030061498099,0.84380401318882,0.918905585144729
"TAS1R3",9.53845064483169,-0.156290559620833,0.967765970071079,-0.161496234063029,0.871702577209242,NA
"DVL1",2025.87655219623,-0.112267960593069,0.0750383519875976,-1.49614107478832,0.134616896095456,0.292337768658214
"MXRA8",74.4860839784406,-0.0271501237517453,0.347795184758254,-0.0780635412494767,0.937777508528056,0.968716099250507
"AURKAIP1",3290.32282230987,-0.0328840604548415,0.065140138153265,-0.504820244278116,0.613685095609825,0.773720449617093
"CCNL2",1176.99171015002,0.0527634789817944,0.227886453473745,0.231534073998274,0.816899917260071,0.903378155699358
"MRPL20-AS1",277.221573346249,-0.0853746742811089,0.185976563077386,-0.459061469189449,0.646190025031659,0.79905719287182
"MRPL20",2517.45412036621,-0.0702900084263345,0.0657921157729116,-1.06836522280189,0.285355798034848,0.488936930149403
"MRPL20-DT",65.7807634766686,0.195059485968075,0.381425160985364,0.511396483294819,0.609073456911499,0.770427954140565
"ANKRD65",19.0342396563147,0.425160256719383,0.64548191481476,0.658671059500397,0.51010702101179,0.696389758156436
"ANKRD65-AS1",1.42369746518737,-2.73360468082228,3.04714947049007,-0.897102261407161,0.369664352135091,NA
