"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",129.24891838295,0.563029146798169,0.256838466025548,2.19215273907672,0.0283684797042582,0.120623698254691
"MIR6859-1",0.847643765498554,-1.58973386313564,4.12516868972218,-0.385374267747268,0.699960144487817,NA
"LOC124903816",0.46695477959822,2.3832824474383,5.29613027518785,0.450004498303956,0.6527071970594,NA
"LOC124900384",1.04221979190551,1.35281863214539,3.50619288139796,0.385836911404031,0.69961745665569,NA
"LOC729737",13.0381214812672,-0.434412519077781,1.12713573093215,-0.38541278317787,0.699931613136799,NA
"DDX11L17",0.304640781216948,0,5.39771667949676,0,1,NA
"WASH9P",66.3896118947967,0.262794241558172,0.445981796285128,0.589248807344058,0.555694380466278,0.778754765264527
"MIR6859-2",0,NA,NA,NA,NA,NA
"LOC127239154",1.96160829491322,-0.115058761263595,2.29707813640663,-0.0500891804418914,0.960051321673137,NA
"LOC124903815",0,NA,NA,NA,NA,NA
"LOC124900618",0,NA,NA,NA,NA,NA
"LOC112268260",0.082914999460601,0,5.39771667961453,0,1,NA
"LOC100132287",0.138810782295746,0,5.39771667956139,0,1,NA
"LOC105378947",0.483403392938893,-2.60008433156011,4.88910445587498,-0.531811982138308,0.594856223095367,NA
"MIR12136",11.7000505493642,-1.0090655844159,0.900040085352217,-1.12113404818078,0.262230807605822,NA
"LOC100288069",21.4808274193058,-0.58306726948577,0.755337108792175,-0.771929861116087,0.440155970166791,0.691695467736973
"LINC01409",3.06561760462595,-0.0975304636201697,1.75014976461867,-0.0557269243991929,0.955559350256736,NA
"LOC124903817",3.97089332181405,-0.152276185743334,1.45988438637207,-0.104307017161648,0.916925709402589,NA
"FAM87B",4.49001024950938,-0.841757907547596,1.36240615026631,-0.617846526443719,0.536676510647415,NA
"LINC00115",12.2383770364949,-0.114565290427512,0.860958173454525,-0.133067196479277,0.89414023781132,NA
"LINC01128",564.644313780308,-0.16803817875936,0.122982015854552,-1.36636383451459,0.171824794222896,0.409763863879857
"LOC284600",2.61101071101722,-1.66502404214703,2.10599527195209,-0.790611481574547,0.429170744728483,NA
"LINC02593",0.0742775776044249,0,5.39771667961723,0,1,NA
"LOC107985728",0.175508249770316,-2.53606774797241,5.30272672913653,-0.478257296201529,0.632467086609098,NA
"SAMD11",2.5953771314744,-1.56251831201246,2.64571569636805,-0.590584360276287,0.554798946501595,NA
"NOC2L",5324.2533168279,-0.0428311773050098,0.0678069073332218,-0.631663926132563,0.527606504916984,0.759516541801943
"KLHL17",135.617623218404,-0.00995155657860875,0.60154743585135,-0.0165432615709261,0.986800989059774,0.99491271482771
"PLEKHN1",21.5289676858085,-0.621020011885465,0.768006098245554,-0.808613386409474,0.418737562435287,0.67225423541854
"PERM1",0.489908137904057,0,5.39771667947078,0,1,NA
"HES4",400.276215843372,-0.663041683633518,0.159568643847111,-4.15521287671532,3.24984822525795e-05,0.000450933022112832
"ISG15",619.162952732608,-0.270257087740275,0.168606132711151,-1.60289002181948,0.108958937038917,0.308543029124362
"AGRN",6453.78840870168,-0.522839803085305,0.166779102609144,-3.13492394973852,0.0017189866903192,0.0133113787101142
"LOC100288175",7.006209369628,-1.23280463840857,1.10875831723235,-1.11187859360177,0.266190353744041,NA
"LOC105378948",1.5447186113896,1.34551491697447,3.09350044681594,0.434948997133448,0.663599448577197,NA
"C1orf159",357.316607699677,-0.158709094993842,0.178408744884694,-0.889581366072701,0.373690715447324,0.630546920308614
"LOC124903820",1.53997777744946,-0.0483014323331115,2.73920061688397,-0.017633404444855,0.985931307922209,NA
"LOC124903818",0,NA,NA,NA,NA,NA
"TNFRSF18",0,NA,NA,NA,NA,NA
"TNFRSF4",24.9728698230521,-0.44471839787471,0.582487910208314,-0.763480906780822,0.445176644902263,0.695930311065977
"SDF4",10499.2351813437,-0.136837629276802,0.0460685318721744,-2.97030584036155,0.00297503400006925,0.0209500322801355
"B3GALT6",1754.82925058649,-0.0296702079163152,0.0821342274686343,-0.361240481961625,0.717919682182473,0.875069185937368
"C1QTNF12",6.3346528823739,-0.520281470915533,1.1962714735678,-0.434919232307554,0.663621054169033,NA
"UBE2J2",3829.98043667238,-0.0334635602905364,0.0581545272529172,-0.575424852909586,0.565003999860925,0.785674899079935
"LINC01786",6.09658407415572,1.18382903666379,1.50387597510905,0.787185284064365,0.431173410506482,NA
"SCNN1D",8.45536274054623,0.090262812716087,1.20766868777272,0.0747413704023057,0.940420490888205,NA
"ACAP3",520.431117000681,-0.00358325827451119,0.188569231340995,-0.019002348628295,0.984839231814391,0.993910770822162
"SNORD167",0.138810782295746,0,5.39771667956139,0,1,NA
"PUSL1",532.07879249079,-0.273785036867861,0.133544099344509,-2.05014701669123,0.0403500864908855,0.157124993156661
"INTS11",4064.2364856533,-0.156530225319575,0.0605318267064897,-2.58591610126963,0.00971205675814657,0.0538819044460535
"CPTP",2089.02833370795,-0.0220548965820368,0.0830812608666059,-0.265461746150529,0.790653775141131,0.912132861149496
"TAS1R3",9.15649392645205,-0.0093778503164689,1.09000970758644,-0.00860345577768652,0.99313552014971,NA
"DVL1",1997.07153686739,0.162232675504594,0.079434136999352,2.04235460512295,0.0411163692077406,0.159323897902115
"MXRA8",41.7967351905657,-0.113663498727835,0.464577439409006,-0.244659962120475,0.806719731553341,0.919974413759002
"AURKAIP1",3116.29110154573,-0.0787526124043196,0.0792630689343082,-0.993559970149381,0.320437140661287,0.581361472810165
"CCNL2",1185.6160284785,-0.168455890266474,0.426743048596589,-0.394747824997893,0.693029003806157,0.860987393782719
"MRPL20-AS1",290.759932721437,-0.121093316290366,0.212267803629203,-0.570474251016871,0.568356081476095,0.787417829435756
"MRPL20",2466.91916992177,0.0160946522984207,0.071173514624893,0.226132605411502,0.821098285870657,0.926630767097978
"MRPL20-DT",67.8202573824256,0.35301170901855,0.378310863742478,0.933126015801784,0.350754908172828,0.610330627847106
"ANKRD65",6.88182419009932,0.352451824733473,1.07402320826698,0.328160343296659,0.742790430453443,NA
"ANKRD65-AS1",0.169211997820887,0,5.3977166795598,0,1,NA
"TMEM88B",0.332762362223761,-2.60051840480431,5.29834122536584,-0.490817464219614,0.62355555682986,NA
"LINC01770",0.532320006456624,0,4.80875371676546,0,1,NA
"LOC107985729",0.253612598162784,-2.60050197774463,5.29834231886769,-0.490814262506993,0.623557821534621,NA
"VWA1",96.3271843655408,-0.860089279717803,0.310832562342286,-2.76705012253729,0.00565660575148935,0.0352999196919468
"ATAD3C",28.4329761972383,0.246936524939948,0.552132401371653,0.447241502810716,0.654700698299278,0.839796109596723
"ATAD3B",1122.35200985958,0.120134119403812,0.122977574533192,0.97687826304777,0.328629424279847,0.590239454676709
"ATAD3A",1426.03077066975,-0.110454360370643,0.0897959862451366,-1.23005899249339,0.218675014684509,0.471715834154139
"TMEM240",68.1515369400968,-0.238506492771727,0.339133194598778,-0.703282652864164,0.481879619133437,0.724230460256266
"SSU72",5538.09727359511,0.0214954789044001,0.0695035400963138,0.309271712989194,0.757114846660933,0.894752300848918
"FNDC10",94.3671406877422,-0.442544030088166,0.326687766283305,-1.35463912567938,0.17553256142838,0.414678903805266
"LOC105378586",0.173203188967205,2.38333458531851,5.29613006661462,0.450014360550245,0.65270008587818,NA
"MIB2",255.042405810774,-0.337332233323881,0.210393121908365,-1.60334249648524,0.108859059026563,0.308324903622385
"LOC124903821",3.91833084914756,1.75939152993111,1.65657632611943,1.06206487572627,0.288206234256422,NA
"MMP23B",0.940175087276422,0,4.01468973205083,0,1,NA
"CDK11B",1457.09063150354,-0.0644928238587522,0.0864479302305962,-0.746030861429768,0.455648772493205,0.703521290832587
"SLC35E2B",3642.49672748226,-0.188064544222458,0.0650269158293131,-2.89210309029729,0.00382672359386685,0.0255829830036388
"MMP23A",0.664674324653154,1.29585336199676,5.2519412159744,0.246737979102901,0.805111012004413,NA
"CDK11A",641.441369767292,-0.0725613479336957,0.136935275234084,-0.529895221006098,0.596184579796925,0.803938706473481
"SLC35E2A",204.250032033402,-0.128363402802589,0.287285558099561,-0.446814673357521,0.655008875859756,0.839838623307008
"LOC112268218",0.582976290997279,2.25177415828177,4.91957493030553,0.457717219512281,0.647155615180778,NA
"NADK",3856.49653111716,-0.275370093292596,0.0639799032416729,-4.30400921758874,1.67734679966314e-05,0.000254276051079368
"GNB1",31456.9817788772,-0.251835250884348,0.0523075406326424,-4.81451140387188,1.47560477558833e-06,2.82212007573137e-05
"GNB1-DT",9.38823747404325,-0.526303351168794,0.947404132855562,-0.555521485411372,0.578538018367934,NA
"LOC124903822",1.12117005846671,1.35007026876442,3.33830580841592,0.404417793409121,0.685905517856028,NA
"CALML6",0.696887249046896,0,4.81452872710049,0,1,NA
"TMEM52",20.3660165502492,0.319128713081925,0.67536120831038,0.472530416546017,0.636548236358201,0.830290927385978
"LOC105378589",0.173203188967205,2.38333458531851,5.29613006661462,0.450014360550245,0.65270008587818,NA
"PRKCZ",4.18180133819997,-1.13015394459899,1.50568939123985,-0.750589033285522,0.452900023182625,NA
"PRKCZ-DT",0,NA,NA,NA,NA,NA
"PRKCZ-AS1",15.6195584841472,-0.595033884853329,0.765747627313214,-0.77706265567042,0.437121805239143,0.688806605507083
"FAAP20",1226.93137717354,-0.0405476214827434,0.101984192342192,-0.397587317715791,0.690934410502079,0.859512040436123
"LOC112268219",53.710552306007,-1.2130597450987,0.419187607274291,-2.89383494179719,0.00380568158102341,0.0254924424328849
"LOC105378593",0.914479008086438,3.31834342436311,3.72536690215326,0.890742713810311,0.3730672141415,NA
"SKI",8398.66810814965,-0.0809673979555817,0.0641176759963416,-1.26279371011828,0.206663325765511,0.456795823107838
"LOC124903824",7.23482276451221,-0.840181960254783,1.07014395381073,-0.785111159356584,0.432388397416092,NA
"MORN1",58.3763452321899,-0.0891332737265302,0.381436268909803,-0.233678024329688,0.815234949506927,0.923412315151619
"LOC100129534",1.50226032059116,-3.59812079966106,2.91125980883691,-1.23593256388153,0.216483631439432,NA
"RER1",5556.97680356033,-0.0505794446319521,0.061255049274281,-0.825718781246475,0.408963635788756,0.66313946094151
"PEX10",1031.73313081782,-0.183680257944142,0.110178719267768,-1.66711193563381,0.0954921492460363,0.282972838798708
"PLCH2",0.195424846351562,0,5.39771667955692,0,1,NA
"TNFRSF14",11.3446584380924,0.623494760344339,0.836588236989301,0.745282724256512,0.456100822567941,NA
"PRXL2B",0.173203188967205,2.38333458531851,5.29613006661462,0.450014360550245,0.65270008587818,NA
"LOC124903827",0.146875795315508,0,5.39771667956304,0,1,NA
"PRDM16",0,NA,NA,NA,NA,NA
"LOC107984909",0,NA,NA,NA,NA,NA
"LOC105378604",13.9812133365867,-0.92678304824016,0.860203890392015,-1.07739927544132,0.281301927692453,NA
"ARHGEF16",8.3557656339199,-1.86952603513598,1.0041523149425,-1.86179527479656,0.0626319528096489,NA
"MEGF6",982.88717607131,-0.944222644895056,0.146972547832765,-6.42448306720147,1.32318388406345e-10,4.98411480761627e-09
"LOC105378608",0,NA,NA,NA,NA,NA
"MIR551A",0.171516171294275,0,5.39771667955903,0,1,NA
"TPRG1L",5603.34971751912,-0.121147361441128,0.0709560419333069,-1.70735793796104,0.0877555433261683,0.268277850303336
"WRAP73",678.830041708719,-0.055750833442649,0.139972474540103,-0.398298548524095,0.690410130266216,0.85893842189936
