"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",129.24891838295,0.77234133982638,0.256503429442042,3.01103709025027,0.00260357047822453,0.020254633554007
"MIR6859-1",0.847643765498554,1.08996987088465,3.99209217185328,0.273032240730715,0.784828432266756,NA
"LOC124903816",0.46695477959822,0,5.39771667946655,0,1,NA
"LOC124900384",1.04221979190551,2.44449420083761,3.3715918568342,0.725026724656079,0.468435635480523,NA
"LOC729737",13.0381214812672,1.25272074749732,1.0643147110601,1.17702098306013,0.239187131284862,NA
"DDX11L17",0.304640781216948,0,5.39771667949676,0,1,NA
"WASH9P",66.3896118947967,-0.506663753320367,0.460300071956831,-1.10072490574775,0.271016403223021,0.551769102050692
"MIR6859-2",0,NA,NA,NA,NA,NA
"LOC127239154",1.96160829491322,-1.45487591104681,2.43583472785526,-0.597280223657795,0.550320305804808,NA
"LOC124903815",0,NA,NA,NA,NA,NA
"LOC124900618",0,NA,NA,NA,NA,NA
"LOC112268260",0.082914999460601,0,5.39771667961453,0,1,NA
"LOC100132287",0.138810782295746,0,5.39771667956139,0,1,NA
"LOC105378947",0.483403392938893,-2.4201413461106,4.88910445587498,-0.495007085234689,0.620595119161401,NA
"MIR12136",11.7000505493642,0.0381363119007265,0.858822848548981,0.0444053298828267,0.964581313209277,NA
"LOC100288069",21.4808274193058,-0.68967858291611,0.767107926419827,-0.899063298869707,0.368618945507339,0.643318744586594
"LINC01409",3.06561760462595,-0.475806462100846,1.79574518816583,-0.26496323934847,0.791037780703929,NA
"LOC124903817",3.97089332181405,-0.345117477909431,1.48639326204526,-0.232184501048231,0.816394715227805,NA
"FAM87B",4.49001024950938,0.0341671988789404,1.31387187951041,0.0260049700520816,0.979253374264541,NA
"LINC00115",12.2383770364949,0.762524757416335,0.837818904448452,0.910130761394452,0.362753553454354,NA
"LINC01128",564.644313780308,-0.232057301157647,0.124353200513945,-1.86611442406441,0.0620253583490193,0.218658593662819
"LOC284600",2.61101071101722,-4.98437058571528,2.45272815531058,-2.03217408130749,0.0421360358121001,NA
"LINC02593",0.0742775776044249,0,5.39771667961723,0,1,NA
"LOC107985728",0.175508249770316,-2.35612513772848,5.30272672913652,-0.444323318564096,0.656808844479466,NA
"SAMD11",2.5953771314744,3.26241816304518,2.26821306986133,1.43832085547617,0.150343037104238,NA
"NOC2L",5324.2533168279,0.0668711206979362,0.0678829974351398,0.985093811772669,0.324577992747802,0.604337266644905
"KLHL17",135.617623218404,-0.00785193151735405,0.602659857607127,-0.0130287946314034,0.989604820014647,0.994924050407108
"PLEKHN1",21.5289676858085,-0.0301087268422918,0.756697557855671,-0.0397896445280118,0.968260832164225,0.988626653846885
"PERM1",0.489908137904057,0,5.39771667947078,0,1,NA
"HES4",400.276215843372,-0.56527386962869,0.160121076357237,-3.53029021843158,0.000415104057693904,0.004404341513279
"ISG15",619.162952732608,-0.230389447099256,0.169125521072575,-1.36223939260114,0.173122347671057,0.42550983631634
"AGRN",6453.78840870168,-0.330117832274024,0.166774297734765,-1.97942870548937,0.0477677592414142,0.181334668526482
"LOC100288175",7.006209369628,0.396892098004995,1.01987136188885,0.389158979099024,0.697158546276472,NA
"LOC105378948",1.5447186113896,2.54495569101298,2.92684701273385,0.869521256130104,0.384562086882496,NA
"C1orf159",357.316607699677,-0.240548266920238,0.180023807236463,-1.33620253128118,0.181483083946,0.436954398327505
"LOC124903820",1.53997777744946,0.127390618104669,2.7397252758043,0.0464975883639542,0.962913656215979,NA
"LOC124903818",0,NA,NA,NA,NA,NA
"TNFRSF18",0,NA,NA,NA,NA,NA
"TNFRSF4",24.9728698230521,-0.203477637033565,0.580704038114981,-0.350398178208081,0.726039893420305,0.887502597754836
"SDF4",10499.2351813437,-0.00491928136195655,0.0461067771257216,-0.10669323836153,0.915032346993133,0.969376043302945
"B3GALT6",1754.82925058649,-0.0217697152144427,0.0825762693146174,-0.26363161468944,0.792063795080149,0.91749900636861
"C1QTNF12",6.3346528823739,-0.818192264431383,1.23065119653371,-0.664844975356079,0.506149652785493,NA
"UBE2J2",3829.98043667238,0.0614098536865984,0.0583041643339012,1.05326702454582,0.292218627598206,0.572102749312579
"LINC01786",6.09658407415572,0.645255032163051,1.54889950446676,0.416589346372857,0.676978803186153,NA
"SCNN1D",8.45536274054623,-0.741886586961277,1.2599702939083,-0.588812760545345,0.555986884829643,NA
"ACAP3",520.431117000681,-0.0071524306548616,0.189310613319324,-0.0377814562504062,0.969861929583687,0.989025118197945
"SNORD167",0.138810782295746,0,5.39771667956139,0,1,NA
"PUSL1",532.07879249079,-0.0729990246469258,0.133426568849513,-0.547110109151192,0.584303087512668,0.806300011414415
"INTS11",4064.2364856533,-0.0222567908426833,0.0606046608331424,-0.367245530900024,0.713435879652564,0.880833851268415
"CPTP",2089.02833370795,0.0240252921780225,0.0833729495027195,0.288166513495349,0.773219280396189,0.909592096875768
"TAS1R3",9.15649392645205,0.942041624264313,1.0654931204642,0.884136749614951,0.376622397107939,NA
"DVL1",1997.07153686739,0.238982994772373,0.0796789100303161,2.99932560173633,0.00270577977562128,0.0208638248540692
"MXRA8",41.7967351905657,-0.937231086259876,0.494771103097061,-1.8942720793377,0.0581889050382025,0.208845212079272
