"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",147.403284255461,0.463505112714907,0.229748006877179,2.0174499836366,0.0436485755965528,0.118628055509315
"MIR6859-1",1.02502461872738,-3.45432845657444,3.35479114963897,-1.02967019480368,0.303164851510883,NA
"LOC124903816",0,NA,NA,NA,NA,NA
"LOC124900384",0.0743601506188782,0,5.39771667960659,0,1,NA
"LOC729737",10.8250727464922,0.748602188906172,0.94225989834683,0.794475271864562,0.426918799122917,0.623672567092859
"DDX11L17",0.360168939536723,2.52059001679217,5.30094851937323,0.47549792411306,0.634432112506121,NA
"WASH9P",73.8523376659972,0.128460972834876,0.35252064304494,0.364406951392345,0.715554145359013,0.84188321284159
"MIR6859-2",0,NA,NA,NA,NA,NA
"LOC127239154",2.57957539330618,3.52173667552486,2.52089045072994,1.39702091160095,0.162407282801667,NA
"LOC124903815",0.187974161441471,0,5.39771667955452,0,1,NA
"LOC124900618",0.155853289058809,0,5.39771667956517,0,1,NA
"LOC112268260",0.187974161441471,0,5.39771667955452,0,1,NA
"LOC100132287",0.0779266445294046,0,5.39771667961681,0,1,NA
"LOC105378947",2.03078912617336,2.18310733737107,2.21941765975669,0.983639707368283,0.325292694371731,NA
"MIR12136",10.7549774882189,-0.414209010347233,0.895943894918698,-0.462315790861904,0.643854877314701,0.796793185859384
"LOC100288069",18.4412770413698,-0.00170213280565943,0.674779111489014,-0.00252250370036408,0.997987335377351,0.99896282149951
"LINC01409",3.16249177085512,-1.09730791798981,1.83534948442134,-0.597874098259699,0.549923943939439,NA
"LOC124903817",6.88119341716823,-0.700979137717048,1.13009709180923,-0.620282224242179,0.535071995807951,0.717565375893656
"FAM87B",6.39977476160974,0.66928780956901,1.31760465842413,0.507957986707093,0.611482807336934,NA
"LINC00115",15.2772458422915,-0.898105823698246,0.726162908439737,-1.23678283930524,0.216167714665577,0.398052297408046
"LINC01128",624.286294023933,0.120317957377862,0.118399156221334,1.01620620634273,0.309531201572285,0.509123973375294
"LOC284600",2.87653178578329,-0.991844418174166,2.15742722391866,-0.459734820798553,0.645706572589601,NA
"LINC02593",0,NA,NA,NA,NA,NA
"LOC107985728",0,NA,NA,NA,NA,NA
"SAMD11",3.31846024937623,-0.726933757157906,1.63601531565028,-0.444331877705538,0.65680265720284,NA
"NOC2L",6233.80682064818,-0.117265727394801,0.0521526935427083,-2.24850759239829,0.0245438415078579,0.0743918605765993
"KLHL17",138.711070028802,-0.30097105712469,0.321436748361468,-0.936330580305138,0.34910300791199,0.54991900856795
"PLEKHN1",23.4366350474624,-0.80289777110925,0.600525922413295,-1.33699102926764,0.181225565064411,0.35206853483678
"PERM1",0.332722711806195,0.19173883175311,5.20825945885336,0.0368143778680571,0.970633009939162,NA
"HES4",438.159857216059,-0.78898438975785,0.153084907451455,-5.15390055683999,2.55123269404494e-07,2.3537228476411e-06
"ISG15",736.365047443891,-0.134552256330916,0.133172032742629,-1.01036421506725,0.312320825898946,0.511958190869032
"AGRN",7253.27711776135,-0.340949473428101,0.0673851496211219,-5.0597123453033,4.19889438421691e-07,3.76967952284956e-06
"LOC100288175",12.3972012428601,-0.48136347213514,0.779222456670415,-0.617748459396288,0.536741162914921,0.718331153381188
"LOC105378948",0.789941677415493,-1.00408054187399,4.07673244062674,-0.246295423233522,0.805453552577645,NA
"C1orf159",414.641723964461,-0.474632520829855,0.144323691665164,-3.28866671406256,0.00100663147929788,0.00474321047653211
"LOC124903820",1.62802363499853,-0.922450172356979,2.42218290959947,-0.380834233740636,0.703326255190008,NA
"LOC124903818",0.111078098174512,0,5.39771667956879,0,1,NA
"TNFRSF18",0.184160857211458,0,5.39771667955612,0,1,NA
"TNFRSF4",20.9151019882442,1.35563608846115,0.750184059811571,1.80707130567617,0.0707511619764598,0.173861558009982
"SDF4",11387.1275680295,0.165461864213366,0.0413343016281976,4.00301584146012,6.25401127764175e-05,0.000387058288621495
"B3GALT6",2054.50703412408,0.0455662613557773,0.0692399578240289,0.65809198601164,0.510479025127442,0.697035550446214
"C1QTNF12",6.44076358946688,0.0995646935518901,1.17952901123986,0.0844105508242083,0.932730018881729,NA
"UBE2J2",4515.31884680384,-0.204824416845133,0.0512328254699588,-3.99791373921462,6.39032292329353e-05,0.000394540797526977
"LINC01786",3.68596550743658,-0.830595768705145,1.65118601384081,-0.503029799031001,0.614943321448676,NA
"SCNN1D",7.72030554728516,-0.12794358020214,1.00043343981976,-0.127888148386153,0.89823749024464,0.948275371078075
"ACAP3",582.191397911666,-0.19828761312283,0.122955494648422,-1.61267793431933,0.106814496880023,0.237830174502688
"SNORD167",0.176008082325265,2.52062672254529,5.30094852464232,0.475504848014983,0.634427178568696,NA
"PUSL1",583.524051568351,-0.367917386353134,0.1148915678105,-3.20230103361431,0.0013633444464425,0.00621803267274441
"INTS11",4756.70274605045,0.0795064089524218,0.0515781975330265,1.54147319517151,0.123201661794687,0.264611399165015
"CPTP",2485.29331879786,0.142382801462826,0.064437790860926,2.20961643098731,0.0271317939880582,0.0806446376645823
"TAS1R3",13.4431994424742,0.304021336837873,0.805301876670728,0.377524684401277,0.705783723688331,0.836151764582481
"DVL1",2284.69561755947,-0.0645290153829172,0.0650710672880487,-0.991669847633942,0.321358604371779,0.521719107501756
"MXRA8",45.0830278680838,-0.714031583997357,0.440168079447252,-1.62217938405259,0.104764944571998,0.234083953772165
"AURKAIP1",3617.70392463358,-0.17173046785385,0.0579495006821717,-2.96345034611633,0.00304211137518085,0.0125481250205117
"CCNL2",1308.44440548542,-0.0939950864372529,0.115145011103123,-0.816319226831905,0.414317580564462,0.613249246242166
"MRPL20-AS1",318.41377249651,-0.0118067402161501,0.195732339926609,-0.0603208453982467,0.951900099947321,0.974522041876425
"MRPL20",2810.43111171916,-0.188734233778118,0.060964747236917,-3.09579293496735,0.00196287381101577,0.00857557013965108
"MRPL20-DT",76.1949197958746,-0.119485672772473,0.369359228913455,-0.323494482929164,0.746320785100966,0.860970697985315
"ANKRD65",11.226988097876,-0.632858536081224,0.924210578016024,-0.684755780917118,0.493498043125287,0.682877528190932
"ANKRD65-AS1",0.357700162662597,-0.00743326194103662,5.19441852236552,-0.00143100944004249,0.998858220051114,NA
"TMEM88B",0,NA,NA,NA,NA,NA
"LINC01770",0.9338043256784,-0.00758828896203403,3.17695320355335,-0.00238854288239018,0.998094220323448,NA
"LOC107985729",0.239699906298714,0,5.39771667954997,0,1,NA
"VWA1",154.483534180385,-0.841039464746478,0.235245489169768,-3.57515660646538,0.00035001831569324,0.00186365038036875
"ATAD3C",32.4988425828514,-0.569090167507737,0.513477118548823,-1.10830677151902,0.267729352031079,0.461311337807
"ATAD3B",1336.40661309338,-0.515552912717756,0.0852235138887561,-6.04942097776814,1.45367346091309e-09,1.77362017736982e-08
"ATAD3A",1670.1739420127,-0.411029945791814,0.0847377971745364,-4.85060928531345,1.23082793633427e-06,1.02809939804409e-05
"TMEM240",91.2651066683014,-0.09777738030352,0.301719617317216,-0.324067030088801,0.745887287287226,0.860889219326701
"SSU72",6528.25905331497,0.0430298526230465,0.050690679203861,0.848871100148309,0.395953021529632,0.59599449600189
"FNDC10",146.876424538239,-0.280009254418226,0.252023865729168,-1.11104261339731,0.266550007310085,0.459718343469306
"LOC105378586",0.495038846159842,0,5.26488424311356,0,1,NA
"MIB2",297.956557610035,-0.152473947659515,0.16454739091805,-0.926626346421084,0.354120570810079,0.55456724596099
"LOC124903821",6.46520576638936,-0.230942913741033,1.07947653142796,-0.213939726355641,0.830594060208275,NA
"MMP23B",1.42339411169125,0.674470343730225,2.59737670891788,0.259673670520909,0.7951155039769,NA
"CDK11B",1612.14731473228,-0.135431660769286,0.0824687731864899,-1.64221747864527,0.100544941657876,0.227328650104009
"SLC35E2B",4349.46136415049,0.0920443891188042,0.0512072434248806,1.79748767874667,0.0722582324477811,0.176829489984127
"MMP23A",0.926717979018279,2.52127249705006,3.7588984903294,0.670747694713383,0.502381273455026,NA
"CDK11A",748.486677740499,-0.0335378158602143,0.10157179133575,-0.330188287704344,0.741257696095258,0.858189589216103
"SLC35E2A",214.460062669766,-0.232707759601289,0.215368909024141,-1.0805076770631,0.279916170003936,0.475666922426583
"LOC112268218",0.919574934331666,0,3.90384680323172,0,1,NA
"NADK",4511.48662500065,-0.170366277653605,0.0598631238688968,-2.84593029302507,0.00442818872140162,0.0174101374326722
"GNB1",38316.5768283416,-0.223084614027863,0.0325057593975191,-6.86292577569775,6.74642852761489e-12,1.04467629649891e-10
"GNB1-DT",10.4703301818518,1.14916228918367,0.888488170340289,1.29339064665716,0.195875983443265,0.371417230178002
"LOC124903822",3.19940886781608,4.84848118420391,2.19772313110923,2.2061383054001,0.0273743173799742,NA
"CALML6",0,NA,NA,NA,NA,NA
"TMEM52",30.893730950201,-0.886398614778975,0.53981335241824,-1.64204647922863,0.100580372053188,0.227375289935102
"LOC105378589",0,NA,NA,NA,NA,NA
"PRKCZ",6.01310935319011,0.399775850308088,1.14820691030078,0.348174050096392,0.727709475010966,NA
"PRKCZ-DT",0.0743601506188782,0,5.39771667960659,0,1,NA
"PRKCZ-AS1",26.8490044255461,0.0712820950877368,0.550994112624659,0.129369975929842,0.897064903744901,0.948058188736125
"FAAP20",1455.88657834824,0.0688025469507644,0.0817284285102605,0.841843507882042,0.399875554956522,0.599451606848665
"LOC112268219",61.9625605610535,-0.637995582373654,0.364813337728295,-1.74882745884916,0.0803208488192398,0.19173404175794
"LOC105378593",1.82701799206837,0.156843693257194,2.36034558628003,0.0664494615402417,0.947019992573013,NA
"SKI",10442.5006453769,-0.0395265442356039,0.0437154630445849,-0.904177640650659,0.365901214306863,0.566084141472295
"LOC124903824",7.21674794174697,1.34464695569957,1.43482363080429,0.937151386993697,0.348680691665812,0.549511039774139
"MORN1",79.1620879919719,0.147185636710468,0.338683568422481,0.434581569445569,0.663866175333201,0.809722750460005
"LOC100129534",2.22322112491822,-0.685939857173554,1.93935642242122,-0.353694580966804,0.723567784192031,NA
"RER1",6425.48873467878,-0.0376039659702864,0.0453580641426301,-0.829046977226351,0.407077825298584,0.605687957614446
"PEX10",1193.28113619196,-0.0928792414087227,0.0854590279910011,-1.08682773010832,0.277112950181892,0.472235636536947
"PLCH2",0.111078098174512,0,5.39771667956879,0,1,NA
"TNFRSF14",9.82806391780595,0.280832740106022,0.840615556479387,0.334079875088426,0.73831928584407,0.856616913557528
"PRXL2B",0.187974161441471,0,5.39771667955452,0,1,NA
"LOC124903827",0,NA,NA,NA,NA,NA
"PRDM16",0.194956005281414,0,5.39771667955706,0,1,NA
"LOC107984909",0.187974161441471,0,5.39771667955452,0,1,NA
"LOC105378604",16.2988263052722,-0.610772832063118,0.852179203091557,-0.716718772116641,0.473547640503237,0.665401143959955
"ARHGEF16",14.5637133352538,-1.28866039064247,0.832832915003207,-1.54732163850357,0.121785706448441,0.262561436737474
"MEGF6",1079.6571549491,-0.336438871939409,0.106664213140045,-3.15418697644805,0.00160945933320996,0.0071889807552888
"LOC105378608",0.148720301237756,0,5.39771667955211,0,1,NA
"MIR551A",0,NA,NA,NA,NA,NA
"TPRG1L",6333.61072934679,0.191790748170969,0.0455372716021049,4.21173121320917,2.53420981537674e-05,0.000169105112832329
"WRAP73",803.152107869137,0.0650745677698884,0.108877604461782,0.597685521201295,0.550049788187674,0.729478836953715
"TP73",10.3785423113414,-0.294386741170012,0.962739446942665,-0.30578028365295,0.759771941265566,0.86946709303288
"GFOD3P",1074.21586790658,-0.0593704823864959,0.10442157166988,-0.568565301566141,0.569651177991853,0.743694196502393
"CCDC27",1.02819464550612,0,4.14035731074291,0,1,NA
"SMIM1",28.1780828184178,0.450666234383202,0.547057094260275,0.823801097018198,0.410052584174406,0.60869904769067
"LRRC47",3421.16012485861,0.00994090993905824,0.0521677022179915,0.190556791202313,0.848872845395197,0.92240960915592
"CEP104",2300.49474913553,0.159453359440485,0.0748968097794492,2.12897398313803,0.0332564129683317,0.0949362125267688
"LOC124903829",7.4092293996398,-1.16471290277314,1.16746603293385,-0.997641789925328,0.318453089098985,0.518634213491255
"DFFB",559.988626413732,0.0669354637082113,0.139016719995613,0.481492181014798,0.630166735539424,0.787710254731763
"C1orf174",1430.14201127986,-0.257257038432069,0.0867086585154564,-2.9669129108509,0.00300806150086854,0.0124312167648215
"LINC01134",7.47750970812977,2.81077704650976,1.26134183361708,2.2284023026886,0.0258536996844761,0.0774451405720043
"LINC02780",0.111078098174512,0,5.39771667956879,0,1,NA
"AJAP1",56.6141877823981,0.067706663466571,0.426721990871919,0.158666918778257,0.873931302938614,0.937621181210961
"LOC124903830",0.148720301237756,0,5.39771667955211,0,1,NA
"MIR4689",0,NA,NA,NA,NA,NA
"NPHP4",513.007255199733,-0.0490242008187904,0.136815443360451,-0.35832358990083,0.720101166377923,0.845766824284975
"KCNAB2",101.399623420526,0.69238964846236,0.31373348622816,2.20693575552475,0.027318547986796,0.0811212479460997
"LOC124903831",0.444681535064818,-2.25819890858395,5.30770320850031,-0.425456891592475,0.670503640545525,NA
"CHD5",0.51681611956852,3.52784678250574,4.94635690654943,0.713221235175034,0.475708867976483,NA
"RPL22",19526.2521736005,0.182873961355697,0.0416064862796905,4.39532336680312,1.10607973415627e-05,7.90623117560469e-05
"RNF207-AS1",2.86498999698347,4.11492863938937,2.24025539036285,1.83681229251406,0.066237610597641,NA
"RNF207",15.6803011151164,-1.23979828519892,0.813593212844578,-1.523855245626,0.127544875377393,0.27151009294237
"ICMT",10295.2236430762,-0.247677148988826,0.0373878638118824,-6.62453330404264,3.48346976220297e-11,5.01026020760297e-10
"ICMT-DT",7.49171703955457,-2.31549010566861,1.23813636369303,-1.87014142671824,0.0614641810049956,0.155595135863174
"GPR153",733.428291846343,0.289779654149855,0.113492503287134,2.55329335204385,0.0106709579132043,0.0370014863441832
"ACOT7",4514.95509884193,-0.31761755620785,0.0548209375760785,-5.79372718255815,6.88412545014995e-09,7.82731687933038e-08
"HES2",1363.00605915785,-0.53924330745801,0.0939020428316592,-5.74261529565151,9.32253612288292e-09,1.04223782666379e-07
"ESPN",61.0046655675954,-0.035309515453099,0.386423935781447,-0.0913750732901527,0.927194567508983,0.9623402534801
