"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WASH7P",119.273367524877,-0.110158298413114,0.257316883005863,-0.428103656185683,0.668575655010849,0.814548204310606
"MIR6859-1",0.416866770933761,3.18340772939946,5.24001502678366,0.607518816859852,0.543506658884578,NA
"LOC124903816",0,NA,NA,NA,NA,NA
"LOC124900384",1.17731850011848,1.78200608343519,2.9702403169457,0.599953503179039,0.548537223701791,NA
"LOC729737",7.8895175941298,-1.09519355730502,1.0592153408005,-1.03396685746387,0.301151657426566,NA
"DDX11L17",0.423574920476432,-1.52662718306913,5.30662729513433,-0.28768313623022,0.773589299901767,NA
"WASH9P",66.5513602473561,0.336399355859957,0.378335111414263,0.889157114184974,0.373918647410389,0.575866625632258
"MIR6859-2",0.0695544956460373,0,5.39771667961507,0,1,NA
"LOC127239154",3.44484372592517,0.752240910590028,1.7080944477923,0.440397725993604,0.659649071620707,NA
"LOC124903815",0,NA,NA,NA,NA,NA
"LOC124900618",0,NA,NA,NA,NA,NA
"LOC112268260",0.178204608319896,-0.734464715701389,5.38186581170632,-0.136470276554243,0.891449520562427,NA
"LOC100132287",0.489499755188007,-0.557808834816961,4.58792179617989,-0.121582027680031,0.903230047714549,NA
"LOC105378947",1.23503275374435,-0.172489804241516,2.77262451169038,-0.062211743246962,0.950394210847114,NA
"MIR12136",10.0287261224594,0.912760362599919,0.8563421746497,1.06588276231204,0.286476642151011,NA
"LOC100288069",15.2031545628291,0.472797256888944,0.781756568997552,0.604788339028879,0.545319642681124,0.724697628041303
"LINC01409",4.77156037255882,-0.0186954432919229,1.65561191252334,-0.0112921652414478,0.990990347170858,NA
"LOC124903817",6.63574446981821,0.21441759531082,1.10405501017072,0.194209159267947,0.846012111353457,NA
"FAM87B",7.22309835758246,-0.455474517987652,1.09265218761723,-0.416852245526471,0.676786485033369,NA
"LINC00115",17.4751998725909,1.40657172410061,0.696309718896238,2.02003747173061,0.0433795008464454,0.1256788865807
"LINC01128",546.323257556285,-0.175701093521216,0.119809804760235,-1.46650012386574,0.142512087479632,0.300122185148262
"LOC284600",2.2041642538504,0.390068713323763,1.78428288145517,0.218613717240645,0.82695096644565,NA
"LINC02593",0,NA,NA,NA,NA,NA
"LOC107985728",0,NA,NA,NA,NA,NA
"SAMD11",5.07011689692061,0.600284723705649,1.26810311369086,0.473372170783887,0.63594768074185,NA
"NOC2L",5418.97845248431,-0.0696190584955651,0.0505200581123161,-1.37804787042778,0.168188508782721,0.337706570994555
"KLHL17",120.113777302555,-0.269877382095645,0.31474462697016,-0.857448734529884,0.391196935566978,0.593086898224458
"PLEKHN1",19.8150315920508,-0.774638131021552,0.696024576439588,-1.1129465212049,0.26573139834312,0.461597246665937
"PERM1",0.870977986921531,3.35639603827343,4.1134438932194,0.815957656261243,0.414524354253685,NA
"HES4",466.357882790059,-0.338148467001759,0.133841009142765,-2.52649370448982,0.0115207453223846,0.0438453226531151
"ISG15",722.979792499073,0.263875211503571,0.131477807177902,2.006994314611,0.0447502683556013,0.128247948342128
"AGRN",5948.27888352889,-0.449586630666674,0.136260764604836,-3.29945771235396,0.000968718213051485,0.00540339122009523
"LOC100288175",9.62913956964215,0.528466442748696,1.03224019613386,0.511960728450613,0.608678494748611,NA
"LOC105378948",2.00043650789746,-1.6572854127592,2.17615182593557,-0.761566997765286,0.446318477998544,NA
"C1orf159",418.424198681383,-0.309386921386013,0.165776250409365,-1.86629218975588,0.0620004969191235,0.164487198402843
"LOC124903820",1.87383801617677,-0.59160221679245,2.34466232802294,-0.252318728254272,0.800794713295297,NA
"LOC124903818",0.167893190969984,0,5.39771667956087,0,1,NA
"TNFRSF18",0.173071413324615,0,5.39771667955858,0,1,NA
"TNFRSF4",11.2300926417043,0.780988757812959,0.964901896809938,0.809397059322803,0.418286793150875,NA
"SDF4",9902.40538898197,0.0759734024202086,0.042019423650657,1.80805436675762,0.0705980394708581,0.181515009329287
"B3GALT6",1824.03003014508,-0.0793421459843308,0.0723671744674058,-1.09638308484832,0.2729111632425,0.470434776301888
"C1QTNF12",8.16064744462736,-1.46200145634282,1.04734489759019,-1.39591213907348,0.162740954699768,NA
"UBE2J2",4020.46657375012,-0.13152772158964,0.052633341849125,-2.49894300777383,0.0124564342004806,0.0466809976758996
"LINC01786",2.07273415125651,-0.215661437573844,2.18861546067136,-0.0985378388525544,0.921505227086102,NA
"SCNN1D",3.77114098980098,1.19714838816328,1.6901181790055,0.708322295466762,0.478745134662761,NA
"ACAP3",585.099999244673,-0.272998660632962,0.120764399942752,-2.26058888846694,0.02378472645555,0.0788951168232946
"SNORD167",0.113111073928017,-2.1632161208905,5.38405616455167,-0.40178186385443,0.687844570567824,NA
"PUSL1",554.44058295677,-0.18793955395049,0.136053581321834,-1.38136425461613,0.167166990797814,0.336246142511044
"INTS11",4078.24094701946,0.0656090346526018,0.0517742154894137,1.26721446249663,0.205078615853312,0.389053706091843
"CPTP",2264.70231630987,0.0315530204262202,0.065353102378901,0.482808302554386,0.629231855120357,0.78817754564665
"TAS1R3",9.53845064483169,0.0307429270799041,0.951830253738113,0.03229874965538,0.974233806316448,NA
"DVL1",2025.87655219623,-0.164178365688701,0.0745952248348501,-2.20092326354915,0.0277414567202885,0.0887571309483269
"MXRA8",74.4860839784406,-0.100391629547584,0.345692563538007,-0.290407258172178,0.771504691639008,0.87933840373281
"AURKAIP1",3290.32282230987,0.0402018459510826,0.0646479515707568,0.621858001286892,0.534035243492356,0.715454913043676
"CCNL2",1176.99171015002,0.0169144682622616,0.227633343216191,0.0743057586524017,0.940767094959441,0.969295637518157
"MRPL20-AS1",277.221573346249,0.115955570842551,0.18327925759707,0.632671543756867,0.526948156279572,0.71139815968118
"MRPL20",2517.45412036621,-0.0456862820192827,0.0652440140478778,-0.700237143376202,0.483779218835025,0.678274136381105
"MRPL20-DT",65.7807634766686,-0.0764835438313875,0.381712361273532,-0.200369575604548,0.841191552130252,0.920886210313555
"ANKRD65",19.0342396563147,0.145481890232135,0.646129314281879,0.225159092795266,0.821855511578282,0.910052841158668
"ANKRD65-AS1",1.42369746518737,1.00766628498242,2.74974339010314,0.366458298839524,0.714023124314437,NA
"TMEM88B",0.376600449843876,0,5.3977166794844,0,1,NA
"LINC01770",0.50482845160622,-2.95873768458731,4.63820142249814,-0.637906251814681,0.523534707850006,NA
"LOC107985729",0.483422940768849,1.85920715142724,5.14527764074907,0.361342434993764,0.717843475044995,NA
"VWA1",181.430741934472,0.0858293567912225,0.22701643704015,0.378075516954937,0.705374495447639,0.838918800147128
"ATAD3C",38.3382924301779,0.0544569837860821,0.458280420798264,0.118828955623339,0.905410867938807,0.952786210269194
"ATAD3B",1322.76380444807,-0.328864865360683,0.0879358366903281,-3.73982755766347,0.000184146540964562,0.00126540779352201
"ATAD3A",1661.12935397194,-0.303240722329681,0.0842122240193647,-3.60091098247151,0.000317104142725427,0.00204870486180968
"TMEM240",80.6923117832902,0.00742614267062554,0.331649443078655,0.0223915427135644,0.98213562659888,0.991533361874741
"SSU72",6037.72247922198,0.0930317850703128,0.0459833702678798,2.02316151531192,0.0430564980089903,0.125083867962639
"FNDC10",143.001379996415,0.163839951596761,0.235270277573402,0.696390352774776,0.4861844030005,0.680737573658111
"LOC105378586",0.167936962905764,0,5.39771667956028,0,1,NA
"MIB2",268.534518625439,-0.0443936920027583,0.183466587689442,-0.241971535863001,0.808802219017017,0.903455593781041
"LOC124903821",5.29420981658642,-0.878151603438971,1.26694728863444,-0.693124024429991,0.488231722068483,NA
"MMP23B",0.95174104566387,-4.6967964765163,3.56431098187513,-1.31772914888739,0.187594333132718,NA
